fecha,nombre,localidad,medio,notas,refs
8 de diciembre de 2007,Gerardo Israel García Pimentel,"Uruapan, Michoacán",,,207? 
8 de diciembre de 2007,Juan Pablo Solís,"Tuxpan, Michoacán",,,208? 
7 de enero de 2008,Claudia Rodríguez Llera,"Estado de México, Estado de México",,,158? 
5 de febrero de 2008,Francisco Ortiz Monroy,"Camargo, Tamaulipas",,,209? 
7 de febrero de 2008,Bonifacio Cruz Santiago,"Nezahualcóyotl, Estado de México",,,210? 
7 de febrero de 2008,Alfonso Cruz Cruz,"Nezahualcóyotl, Estado de México",,,210? 
12 de febrero de 2008,Mauricio Estrada Zamora,"Apatzingán, Michoacán",,,N 7?211? 
27 de febrero de 2008,Luis Villanueva Berrones,"Tamaulipas, Tamaulipas",,,N 8?212?213?214? 
7 de abril de 2008,Teresa Bautista Merino,"Putla de Guerrero, Oaxaca",,,215? 
7 de abril de 2008,Felicitas Martínez Sánchez,"Putla de Guerrero, Oaxaca",,,216? 
24 de junio de 2008,José Carlos Campos Ezquerra,"Culiacán, Sinaloa",,,217? 
25 de junio de 2008,Candelario Pérez Pérez,"Ciudad Juárez, Chihuahua",,,218? 
24 de septiembre de 2008,Alejandro Zenón Fonseca Estrada,"Villahermosa, Tabasco",,,219? 
10 de octubre de 2008,Francisco Javier Salas,"Tijuana, Baja California",,,220? 
10 de octubre de 2008,David García Monroy,"Chihuahua, Chihuahua",,,221? 
10 de octubre de 2008,Miguel Ángel Villagómez Valle,"Lázaro Cárdenas, Michoacán",,,222? 
13 de noviembre de 2008,Armando Rodríguez Carreón,"Ciudad Juárez, Chihuahua",,,223? 
14 de diciembre de 2008,Raúl Martínez López,"Poza Rica, Veracruz",,,224? 
13 de febrero de 2009,Jean Paul Ibarra Ramírez,"Iguala, Guerrero",,,225? 
24 de febrero de 2009,Luis Daniel Méndez Hernández,"Huayacocotla, Veracruz",,,226? 
27 de febrero de 2009,Juan Carlos Hernández Mundo,"Taxco, Guerrero",,,227? 
3 de mayo de 2009,Carlos Ortega Samper,"Santa María El Oro, Durango",,,228? 
26 de mayo de 2009,Eliseo Barrón Hernández,"Gómez Palacio, Durango",,,229? 
12 de julio de 2009,Martín Javier Miranda Avilés,"Zitácuaro, Michoacán",,,230? 
14 de julio de 2009,Ernesto Montañez Valdivia,"Ciudad Juárez, Chihuahua",,,231? 
28 de julio de 2009,Juan Daniel Martínez Gil,"Acapulco, Guerrero",,,232? 
21 de septiembre de 2009,Jaime Omar Gándara Sanmartín,"Chihuahua, Chihuahua",,,233? 
23 de septiembre de 2009,Norberto Miranda Madrid,"Casas Grandes, Chihuahua",,,234? 
10 de octubre de 2009,Gerardo Esparza Mata,"Durango, Durango",,,235? 
11 de octubre de 2009,Fabián Ramírez López,"Mazatlán, Sinaloa",,,236? 
2 de noviembre de 2009,José Vladimir Antuna García,"Durango, Durango",,,237? 
11 de noviembre de 2009,María Esther Aguilar Cansimbe,"Zamora, Michoacán",,,N 9?238?239? 
24 de noviembre de 2009,José Emilio Galindo Robles,"Ciudad Guzmán, Jalisco",,,169? 
23 de diciembre de 2009,José Alberto Velázquez López,"Tulum, Quintana Roo",,,240? 
16 de enero de 2010,José Luis Romero,"Los Mochis, Sinaloa",,,241? 
8 de enero de 2010,Valentín Valdés Espinosa,"Saltillo, Coahuila",,,242? 
29 de enero de 2010,Jorge Ochoa Martínez,"Ayutla de los Libres, Guerrero",,,243? 
de marzo de 2010,Miguel Ángel Domínguez Zamora,"Reynosa, Tamaulipas",,,N 10?244? 
de marzo de 2010,Pedro Argüello,"Reynosa, Tamaulipas",,,N 11?244? 
de marzo de 2010,David Silva,"Reynosa, Tamaulipas",,,N 12?244? 
2 de marzo de 2010,Jorge Rábago Valdez,"Reynosa, Tamaulipas",,,245? 
12 de marzo de 2010,Evaristo Pacheco Solís,"Chilpancingo, Guerrero",,,246? 
6 de abril de 2010,Ramón Ángeles Zalpa,"Michoacán, Michoacán",,,N 13?247? 
10 de abril de 2010,Enrique Villicaña Palomares,"Morelia, Michoacán",,,248? 
17 de abril de 2010,María Isabella Cordero,"Chihuahua, Chihuahua",,,249? 
10 de mayo de 2007,Gamaliel López Candanosa,"Monterrey, Nuevo León",,,N 14?250?251? 
10 de mayo de 2007,Gerardo Paredes Pérez,"Monterrey, Nuevo León",,,N 15?250?251? 
23 de junio de 2010,Miguel Ángel Bueno Méndez,"Huixquilucan, Estado de México",,,252? 
28 de junio de 2010,Juan Francisco Rodríguez Ríos,"Coyuca de Benítez, Guerrero",,,253? 
28 de junio de 2010,María Elvira Hernández Galeana,"Coyuca de Benítez, Guerrero",,,254? 
6 de julio de 2010,Hugo Alfredo Olivera Cartas,"Apatzingán, Michoacán",,,255? 
10 de julio de 2010,Marco Aurelio Martínez Tijerina,"Montemorelos, Nuevo León",,,256? 
10 de julio de 2010,Guillermo Alcaraz Trejo,"Chihuahua, Chihuahua",,,256? 
7 de septiembre de 2010,Marcelo de Jesús Tejero Ocampo,"Carmen, Campeche",,,257? 
16 de septiembre de 2010,Luis Carlos Santiago Orozco,"Ciudad Juárez, Chihuahua",,,258? 
27 de septiembre de 2010,Rafael Armando Muro,"Ciudad Juárez, Chihuahua",,,259? 
30 de septiembre de 2010,Juan Francisco García Márquez,"Ciudad Juárez, Chihuahua",,,260? 
4 de octubre de 2010,José Juan Núñez Sarabia,"Santiago Papasquiaro, Durango",,,261? 
28 de octubre de 2010,Selene Hernández León,"Toluca, Estado de México",,,262? 
5 de noviembre de 2010,Carlos Alberto Guajardo Romero,"Matamoros, Tamaulipas",,,263? 
9 de febrero de 2011,Rodolfo Ochoa Moreno,"Torreón, Coahuila",,,264? 
25 de marzo de 2011,Luis Emmanuel Ruiz Carrillo,"Guadalupe, Nuevo León",,,265? 
25 de marzo de 2011,José Luis Cerda Meléndez,"Guadalupe, Nuevo León",,,266? 
25 de mayo de 2011,Juan Roberto Gómez Meléndez,"Guadalupe, Nuevo León",,,267? 
31 de mayo de 2011,Noel López Olguín,"Chinameca, Morelos",,,268? 
7 de junio de 2011,Marco Antonio López Ortiz,"Acapulco, Guerrero",,,N 16?269? 
14 de junio de 2011,Pablo Ruelas Barraza,"Huatabampo, Sonora",,,270? 
20 de junio de 2011,Miguel Ángel López Velasco,"Veracruz, Veracruz",,,271? 
20 de junio de 2011,Misael López Solana,"Veracruz, Veracruz",,,272? 
3 de julio de 2011,Ángel Castillo Corona,"Ocuilan, Estado de México",,,273? 
26 de julio de 2011,Yolanda Ordaz de la Cruz,"Veracruz, Veracruz",,,274? 
1 de septiembre de 2011,Ana María Marcela Yarce Viveros,"Iztapalapa, Ciudad de México",,,275? 
1 de septiembre de 2011,Rocío González Trápaga,"Iztapalapa, Ciudad de México",,,275? 
20 de septiembre de 2011,Manuel Gabriel Fonseca Hernández,"Acayucán, Veracruz",,,N 17?276? 
24 de septiembre de 2011,María Elizabeth Macías Castro,"Nuevo Laredo, Tamaulipas",,,277? 
25 de agosto de 2011,Humberto Millán Salazar,"Culiacán, Sinaloa",,,278? 
3 de diciembre de 2011,Hugo César Muruato Flores,"Chihuahua, Chihuahua",,,279? 
7 de enero de 2012,Raúl Régulo Quirino Garza,"Cadereyta, Nuevo León",,,280? 
20 de abril de 2012,Héctor Javier Salinas Aguirre,"Chihuahua, Chihuahua",,,281? 
20 de abril de 2012,Javier Moya Muñoz,"Chihuahua, Chihuahua",,,281? 
28 de abril de 2012,Regina Martínez Pérez,"Xalapa, Veracruz",,,282? 
3 de mayo de 2012,Gabriel Huge Córdova,"Boca del Río, Veracruz",,,283? 
3 de mayo de 2012,Guillermo Luna Varela,"Boca del Río, Veracruz",,,283? 
3 de mayo de 2012,Esteban Rodríguez,"Boca del Río, Veracruz",,,284? 
3 de mayo de 2012,Ana Irasema Becerra Jiménez,"Boca del Río, Veracruz",,,285? 
13 de mayo de 2012,René Orta Salgado,"Cuernavaca, Morelos",,,286? 
18 de mayo de 2012,Marco Antonio Ávila García,"Empalme, Sonora",,,287? 
21 de mayo de 2012,Zane Plemmons,"Nuevo Laredo, Tamaulipas",,,N 18?288?289? 
14 de junio de 2012,Víctor Manuel Báez Chino,"Xalapa, Veracruz",,,290?291? 
23 de junio de 2012,Federico Manuel García Contreras,"Tanquián de Escobedo, San Luis Potosí",,,N 19?292? 
30 de junio de 2012,Armando Montaño,"Ciudad de México, Ciudad de México",,,293? 
25 de julio de 2012,Miguel Morales Estrada,"Poza Rica, Veracruz",,,N 20?294? 
13 de agosto de 2012,Mario A. Segura,"Tampico, Tamaulipas",,,N 21?295? 
19 de agosto de 2012,Ernesto Araujo Cano,"Chihuahua, Chihuahua",,,296? 
20 de agosto de 2012,José Antonio Aguilar Mota,"Ecuandureo, Michoacán",,,297? 
20 de agosto de 2012,Arturo Barajas López,"Ecuandureo, Michoacán",,,297? 
15 de octubre de 2012,Ramón Abel López Aguilar,"Tijuana, Baja California",,,298? 
26 de octubre de 2012,Adela Jazmín Alcaraz López,"San Luis Potosí, San Luis Potosí",,,N 22?299? 
14 de noviembre de 2012,Adrián Silva Moreno,"Tehuacán, Puebla",,,300? 
27 de noviembre de 2012,Sergio Landa Rosales,"José Cardel, Veracruz",,,N 23?301? 
22 de diciembre de 2012,David Araujo Arévalo,"Acapulco, Guerrero",,,302?303? 
4 de marzo de 2013,Jaime Guadalupe González Domínguez,"Ojinaga, Chihuahua",,,304? 
11 de marzo de 2013,Víctor Javier Campos,"Agua Prieta, Sonora",,,305? 
15 de marzo de 2013,Juan José García,"Jiménez, Chihuahua",,,306? 
15 de abril de 2013,Alonso de la Colina Sordo,"Puebla, Puebla",,,307? 
24 de abril de 2013,Daniel Alejandro Martínez Bazaldúa,"Saltillo, Coahuila",,,308? 
30 de abril de 2013,Gerardo José Padilla Blanquet,"Saltillo, Coahuila",,,N 24?309? 
2 de mayo de 2013,Rosa María Ríos Campos,"Morelia, Michoacán",,,310? 
24 de junio de 2013,Mario Ricardo Chávez Jorge,"Reynosa, Tamaulipas",,,311? 
17 de julio de 2013,Alberto López Bello,"Oaxaca, Oaxaca",El Imparcial,Asesinado,312? 
5 de noviembre de 2013,Alberto Angulo Gerardo,"Angostura, Sinaloa",Televisa Hermosillo,Asesinado,313? 
23 de enero de 2014,Miguel Ángel Guzmán Garduño,"Chilpancingo, Guerrero",Vértice,Asesinado,314? 
5 de febrero de 2014,Gregorio Jiménez de la Cruz,"Coatzacoalcos, Veracruz","Notisur
Liberal del Sur",Asesinado,315? 
16 de febrero de 2014,Omar Reyes Fabián,"Miahuatlán de Porfirio Díaz, Oaxaca",Tiempo,Asesinado,316? 
28 de febrero de 2014,Benjamín Galván Gómez,"Tamaulipas, Tamaulipas","Última Hora
Primera Hora",Asesinado,317?318? 
2 de junio de 2014,Jorge Torres Palacios,"Acapulco, Guerrero",El Dictamen de Guerrero,Asesinado,319? 
21 de julio de 2014,Julián Bacasegua Castro,"Guasave, Sinaloa",N/A,Desaparecido,320? 
30 de julio de 2014,Nolberto Herrera Rodríguez,"Guadalupe, Zacatecas",Canal 9,Asesinado,321? 
12 de agosto de 2014,Octavio Rojas Hernández,"Cosolapa, Oaxaca",El Buen Tono,Asesinado,322? 
21 de agosto de 2014,Marlén Valdez García,"Benito Juárez, Nuevo León",La Última Palabra,Asesinado,323?324? 
27 de agosto de 2014,Adrián Gaona Belmonte,"Reynosa, Tamaulipas",La Comadrita 97.3 Fm Radio,Asesinado,324?325? 
3 de septiembre de 2014,Víctor Pérez Pérez,"Ciudad Juárez, Chihuahua",Sucesos,Asesinado,326? 
12 de octubre de 2014,Octavio Atilano Román Tirado,"Mazatlán, Sinaloa",ABC Radio,Asesinado,327? 
16 de octubre de 2014,María del Rosario Fuentes Rubio,"Reynosa, Tamaulipas",Valor por Tamaulipas,Asesinado,328?329? 
22 de octubre de 2014,Jesús Antonio Gamboa Urías,"Los Mochis, Sinaloa",Nueva Prensa,Asesinado,330? 
3 de diciembre de 2014,Mario Alberto Crespo Ayón,"Mazatlán, Sinaloa",Uno TV,Desaparecido,331? 
2 de enero de 2015,Moisés Sánchez Cerezo,"Medellín, Veracruz",La Unión,Asesinado,332? 
4 de enero de 2015,Jazmín Martínez Sánchez,"Ixtlán del Río, Nayarit",Televisa Tepic,Asesinada,333? 
5 de enero de 2015,Jesús Tapia Rodríguez,"Parras de la Fuente, Coahuila",Parras TV,Asesinado,334? 
14 de abril de 2015,Abel Manuel Bautista Raymundo,"Santiago Juxtlahuaca, Oaxaca",Radio Spacio 96.1 FM,Asesinado,335? 
4 de mayo de 2015,Armando Saldaña Morales,"Cosolapa, Oaxaca","Radio Max
La Ke Buena",Asesinado,336? 
18 de junio de 2015,Ismael Díaz López,"Teapa, Tabasco","El Criollo
Tabasco Hoy",Asesinado,337? 
26 de junio de 2015,Gerardo Nieto Álvarez,"Comonfort, Guanajuato",El Tábano,Asesinado,338? 
2 de julio de 2015,Filadelfo Sánchez Sarmiento,"Miahuatlán, Oaxaca",La Favorita 103.3 FM,Asesinado,339? 
2 de julio de 2015,Juan Mendoza Delgado,"Medellín, Veracruz","El Dictamen
Escribiendo la Verdad",Asesinado,340? 
9 de julio de 2015,Édgar Hernández García,"Santa María Huatulco, Oaxaca",Oaxaca Foro Político,Asesinado,341? 
31 de julio de 2015,Rubén Espinosa Becerril,"Ciudad de México, Ciudad de México",Proceso,Asesinado,342? 
4 de agosto de 2015,Adrián Martínez López,"Jalpa de Méndez, Tabasco",Glamour Arte Fotográfico,Asesinado,343? 
6 de agosto de 2015,Juan Manuel Calderón García,"San Blas, Nayarit",La Caliente 107.4 FM,Asesinado,344? 
13 de agosto de 2015,Juan Heriberto Santos Cabrera,"Orizaba, Veracruz",Televisa,Asesinado,345? 
22 de agosto de 2015,Eduardo Herrera Sáenz,"Piedras Negras, Coahuila",Televisa,Asesinado,346? 
22 de septiembre de 2015,David Alonso Correa Rangel,"Ciudad Hidalgo, Michoacán",Fotógrafo freelance,Asesinado,347? 
23 de septiembre de 2015,José Joaquín Pérez Morales,"Villahermosa, Tabasco",Diario Presente,Asesinado,348? 
23 de septiembre de 2015,Aurelio Hernández Herrera,"Villahermosa, Tabasco",Diario Presente,Asesinado,348? 
28 de diciembre de 2015,América Maribel Alva Larrazolo,"Ciudad Juárez, Chihuahua",N/A,Asesinada,349? 
21 de enero de 2016,Marcos Hernández Bautista,"San Andrés Huaxpaltepec, Oaxaca","Imagen de Oaxaca
Diario Noticias Voz",Asesinado,350? 
22 de enero de 2016,Reynel Martínez Cerqueda,"Santiago Laollaga, Oaxaca",Manantial,Asesinado,351? 
9 de febrero de 2016,Anabel Flores Salazar,"Tehuacán, Puebla",El Sol de Orizaba,Asesinada,352? 
20 de febrero de 2016,Moisés Dagdug Lutzow,"Villahermosa, Tabasco",VX media group,Asesinado,353? 
25 de abril de 2016,Francisco Pacheco Beltrán,"Taxco de Alarcón, Guerrero",El Sol de Acapulco,Asesinado,354? 
14 de mayo de 2016,Manuel Santiago Torres González,"Poza Rica de Hidalgo, Veracruz","TV Azteca 
Radiover.com",Asesinado,354? 
19 de junio de 2016,Elidio Ramos Zárate,"Juchitán de Zaragoza, Oaxaca",El Sur,Asesinado,353? 
20 de junio de 2016,Zamira Esther Bautista,"Ciudad Victoria, Tamaulipas","El Mercurio 
La Verdad",Asesinada,353? 
