fecha,nombre,localidad,medio,notas,refs
2 de noviembre de 2020,Jesús Alonso Piñuelas ,"Ciudad Obregón, Sonora",El Shok de la Noticia' en Facebook ,Asesinado ,28
9 de noviembre de 2020,Israel Vázquez Rangel ,"Salamanca, Guanajuato",El Salmantino ,Asesinado ,392? 
7 de febrero de 2021,Edgar Leyva Mendoza ,"Tuxpan, Veracruz",Urbano 24 horas ,Asesinado ,393? 
3 de mayo de 2021,Benjamín Morales Hernández ,"Caborca, Sonora",Noticias Xonoidag ,Asesinado ,394? 
19 de agosto de 2021,Jacinto Romero Flores ,"Orizaba, Veracruz",Ori Stereo 99.3 FM ,Asesinado ,395? 
31 de octubre de 2021,Alfredo Cardoso ,"Acapulco, Guerrero",Dos Costas ,Asesinado ,396? 
10 de enero de 2022,José Luis Gamboa ,"Veracruz, Veracruz",Diario digital Inforegio ,Asesinado ,397? 
17 de enero de 2022,Margarito Martínez Esquivel ,"Tijuana, Baja California",Semanario Zeta ,Asesinado ,398? 
23 de enero de 2022,Lourdes Maldonado ,"Tijuana, Baja California",Semanario Zeta ,Asesinada ,399? 
31 de enero de 2022,Roberto Toledo ,"Zitácuaro, Michoacán",Monitor Michoacan ,Asesinado ,400? 
6 de febrero de 2022,Ernesto Islas Flores ,"Tijuana, Baja California",NotiRedes ,Asesinado ,401? 
10 de febrero de 2022,Heber López ,"Salina Cruz, Oaxaca",Noticias Web ,Asesinado ,402? 
